Alabama, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1960-2010
Missing: -99
Date,Value,Anomaly
196012,61.5,-1.2
196112,61.9,-0.8
196212,63.0,0.3
196312,61.7,-1.0
196412,62.4,-0.3
196512,63.0,0.3
196612,61.6,-1.1
196712,61.9,-0.8
196812,61.0,-1.7
196912,61.4,-1.3
197012,62.1,-0.6
197112,62.7,0.0
197212,63.0,0.3
197312,63.1,0.4
197412,63.1,0.4
197512,62.8,0.1
197612,60.7,-2.0
197712,62.5,-0.2
197812,61.9,-0.8
197912,61.4,-1.3
198012,62.5,-0.2
198112,62.0,-0.7
198212,63.3,0.6
198312,61.2,-1.5
198412,62.8,0.1
198512,62.8,0.1
198612,64.1,1.4
198712,63.0,0.3
198812,62.1,-0.6
198912,62.2,-0.5
199012,64.9,2.2
199112,64.0,1.3
199212,62.1,-0.6
199312,62.3,-0.4
199412,63.0,0.3
199512,63.0,0.3
199612,62.1,-0.6
199712,62.4,-0.3
199812,65.1,2.4
199912,64.1,1.4
200012,63.6,0.9
200112,63.0,0.3
200212,63.6,0.9
200312,62.7,0.0
200412,63.3,0.6
200512,63.4,0.7
200612,64.2,1.5
200712,64.4,1.7
200812,62.9,0.2
200912,62.9,0.2
201012,62.7,0.0
