Arizona, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1960-2010
Missing: -99
Date,Value,Anomaly
196012,59.6,-0.3
196112,59.2,-0.7
196212,59.8,-0.1
196312,59.8,-0.1
196412,57.8,-2.1
196512,58.5,-1.4
196612,59.5,-0.4
196712,59.0,-0.9
196812,58.6,-1.3
196912,59.7,-0.2
197012,59.0,-0.9
197112,58.2,-1.7
197212,59.6,-0.3
197312,58.4,-1.5
197412,59.5,-0.4
197512,57.9,-2.0
197612,59.0,-0.9
197712,60.2,0.3
197812,59.8,-0.1
197912,58.8,-1.1
198012,60.2,0.3
198112,61.3,1.4
198212,58.7,-1.2
198312,59.2,-0.7
198412,59.4,-0.5
198512,59.6,-0.3
198612,60.6,0.7
198712,59.3,-0.6
198812,60.2,0.3
198912,61.2,1.3
199012,59.7,-0.2
199112,59.2,-0.7
199212,59.6,-0.3
199312,59.8,-0.1
199412,60.6,0.7
199512,61.0,1.1
199612,61.9,2.0
199712,60.5,0.6
199812,59.3,-0.6
199912,60.8,0.9
200012,61.7,1.8
200112,61.2,1.3
200212,61.2,1.3
200312,61.9,2.0
200412,60.4,0.5
200512,61.1,1.2
200612,61.1,1.2
200712,61.6,1.7
200812,60.6,0.7
200912,61.1,1.2
201012,60.4,0.5
