Georgia, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1960-2010
Missing: -99
Date,Value,Anomaly
196012,62.0,-1.2
196112,62.6,-0.6
196212,63.1,-0.1
196312,61.9,-1.3
196412,62.6,-0.6
196512,63.1,-0.1
196612,61.7,-1.5
196712,62.4,-0.8
196812,61.6,-1.6
196912,61.7,-1.5
197012,62.8,-0.4
197112,63.3,0.1
197212,63.5,0.3
197312,63.4,0.2
197412,63.8,0.6
197512,63.7,0.5
197612,61.5,-1.7
197712,62.8,-0.4
197812,62.6,-0.6
197912,62.3,-0.9
198012,63.0,-0.2
198112,62.4,-0.8
198212,63.9,0.7
198312,61.9,-1.3
198412,63.3,0.1
198512,63.8,0.6
198612,65.0,1.8
198712,63.3,0.1
198812,62.4,-0.8
198912,63.2,0.0
199012,65.7,2.5
199112,64.5,1.3
199212,62.7,-0.5
199312,63.2,0.0
199412,63.6,0.4
199512,63.5,0.3
199612,62.6,-0.6
199712,63.2,0.0
199812,65.7,2.5
199912,64.5,1.3
200012,63.3,0.1
200112,63.9,0.7
200212,64.4,1.2
200312,63.3,0.1
200412,64.0,0.8
200512,63.8,0.6
200612,64.5,1.3
200712,64.8,1.6
200812,63.5,0.3
200912,63.4,0.2
201012,63.0,-0.2
