Illinois, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1960-2010
Missing: -99
Date,Value,Anomaly
196012,50.3,-1.5
196112,51.1,-0.7
196212,50.9,-0.9
196312,50.7,-1.1
196412,52.5,0.7
196512,52.0,0.2
196612,50.6,-1.2
196712,50.6,-1.2
196812,51.1,-0.7
196912,50.4,-1.4
197012,51.2,-0.6
197112,52.2,0.4
197212,50.3,-1.5
197312,53.0,1.2
197412,51.6,-0.2
197512,52.0,0.2
197612,50.4,-1.4
197712,51.5,-0.3
197812,49.6,-2.2
197912,49.4,-2.4
198012,51.3,-0.5
198112,51.8,0.0
198212,50.7,-1.1
198312,52.0,0.2
198412,51.8,0.0
198512,50.6,-1.2
198612,52.8,1.0
198712,54.1,2.3
198812,52.1,0.3
198912,50.4,-1.4
199012,53.6,1.8
199112,53.7,1.9
199212,51.9,0.1
199312,50.9,-0.9
199412,52.0,0.2
199512,51.6,-0.2
199612,50.1,-1.7
199712,51.0,-0.8
199812,55.2,3.4
199912,53.5,1.7
200012,52.2,0.4
200112,53.4,1.6
200212,53.2,1.4
200312,51.7,-0.1
200412,52.6,0.8
200512,53.7,1.9
200612,54.0,2.2
200712,53.7,1.9
200812,50.9,-0.9
200912,51.4,-0.4
201012,52.9,1.1
